os,language,task,input_size,pid,status,rtime,ru_utime,ru_stime,ru_maxrss,ru_minflt,ru_majflt,ru_inblock,ru_oublock,ru_nvcsw,ru_nivcsw,memory_mb,cpu_time,execution_time,task_with_size
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,7,1617,0,0.1979846954345703,0.060562,0.071987,16056,8248,0,0,0,359,19,15.6796875,0.132549,0.1979846954345703,binarytrees-7
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,7,1631,0,0.1858065128326416,0.066861,0.050879,16196,8187,0,0,0,372,4,15.81640625,0.11774000000000001,0.1858065128326416,binarytrees-7
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,7,1645,0,0.1730399131774902,0.0599079999999999,0.0599079999999999,16336,8150,0,0,0,355,5,15.953125,0.1198159999999998,0.1730399131774902,binarytrees-7
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,7,1659,0,0.1559510231018066,0.052425,0.0435119999999999,16384,8166,0,0,0,367,2,16.0,0.0959369999999999,0.1559510231018066,binarytrees-7
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,7,1673,0,0.1435203552246093,0.041155,0.051724,16532,8229,0,0,0,361,2,16.14453125,0.09287899999999999,0.1435203552246093,binarytrees-7
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,7,1687,0,0.1495108604431152,0.073715,0.050071,16532,8194,0,0,0,361,2,16.14453125,0.12378600000000001,0.1495108604431152,binarytrees-7
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,7,1701,0,0.1524775028228759,0.0533709999999999,0.0620019999999999,16244,8192,0,0,0,365,3,15.86328125,0.1153729999999998,0.1524775028228759,binarytrees-7
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,7,1715,0,0.1510190963745117,0.041661,0.057968,16280,8264,0,0,0,392,4,15.8984375,0.099629,0.1510190963745117,binarytrees-7
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,7,1729,0,0.1448068618774414,0.039966,0.05687,16532,8250,0,0,0,358,0,16.14453125,0.096836,0.1448068618774414,binarytrees-7
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,21,1743,0,17.340413808822632,88.054442,8.710876,276648,1311246,0,0,0,1062,522,270.1640625,96.765318,17.340413808822632,binarytrees-21
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,21,1760,0,17.308536291122437,89.979491,7.234178,276296,1318439,0,0,0,1096,636,269.8203125,97.213669,17.308536291122437,binarytrees-21
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,21,1776,0,17.819189310073853,90.65914,10.271493,276428,1317959,0,0,0,1079,471,269.94921875,100.930633,17.819189310073853,binarytrees-21
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,21,1790,0,17.827072143554688,93.470701,6.820073,276176,1318472,0,0,0,1014,657,269.703125,100.290774,17.827072143554688,binarytrees-21
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,21,1804,0,18.46757817268372,98.231668,6.442143,276584,1311295,0,0,0,1030,572,270.1015625,104.673811,18.46757817268372,binarytrees-21
Manjaro GNOME 25.0.10 Minimal,Python 3,binarytrees,21,1818,0,19.2354474067688,100.563568,7.38972,276552,1311267,0,0,0,1092,591,270.0703125,107.953288,19.2354474067688,binarytrees-21
